BEDROOM_NUM_CLEAN,TOTAL_FLOOR,FEATURE_COUNT,AMENITY_COUNT,LANDMARK_COUNT,FLOOR_RATIO,BALCONY_NUM,AREA_SQFT,LATITUDE,LONGITUDE,LOCALITY_MEDIAN_PRICE,LISTING_AGE_DAYS,IS_READY_TO_MOVE,IS_UNDER_CONSTR,IS_RERA,IS_RESALE,IS_NEW_BOOKING,IS_VERIFIED,HAS_SOCIETY,IS_TOP_FLOOR,IS_GROUND_FLOOR,PROP_TYPE_CLEAN,FURNISH_LABEL,FACING_LABEL,AGE_LABEL,TRANSACT_LABEL,AREA_BUCKET,BALCONY_BUCKET,LOCALITY,SPID,PROP_ID,TARGET_PRICE_SQFT,LOG_PRICE_SQFT,PRICE_INR,AREA_SQFT,LOCALITY,PROP_TYPE_CLEAN,PRICE_PER_BED,LISTING_AGE_DAYS,LOCALITY_MEDIAN_PRICE
2.0,5.0,0,0,12.0,0.2,,1227.0,17.46,78.28,8000.0,180.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,67593584,C67593584,6000.0,8.699681400989514,7362000.0,1227.0,: ,Apartment,3681000.0,180.0,8000.0
,0.0,0,0,2.0,,,3375.0,16.855860379527,78.532389038576,8000.0,28.0,0,1,0,0,1,0,1,0,0,Land,Unfurnished,Unknown,New,Rent,XL,None,: ,70494476,X70494476,1333.0,7.195937226475569,4499000.0,3375.0,: ,Land,,28.0,8000.0
3.0,5.0,0,0,13.0,0.2,,1535.0,17.40036,78.59806,8000.0,30.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,70022966,K70022966,5300.0,8.575650760987806,8135499.999999999,1535.0,: ,Apartment,2711833.333333333,30.0,8000.0
2.0,5.0,0,0,13.0,0.2,,1195.0,17.40036,78.59806,8000.0,30.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Small,None,: ,70022960,O70022960,5300.0,8.575650760987806,6333499.999999999,1195.0,: ,Apartment,3166749.9999999995,30.0,8000.0
3.0,14.0,0,0,10.0,0.07142857142857142,,1652.5,17.286493,78.414753,8000.0,60.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,69551922,W69551922,6321.0,8.751790892775563,10450000.0,1652.5,: ,Apartment,3483333.3333333335,60.0,8000.0
2.0,14.0,0,0,10.0,0.07142857142857142,,1362.5,17.286493,78.414753,8000.0,60.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,69551920,W69551920,6321.0,8.751790892775563,8612000.0,1362.5,: ,Apartment,4306000.0,60.0,8000.0
3.0,12.0,0,0,15.0,0.08333333333333333,,1547.5,17.577711,78.472757,8000.0,60.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,69424896,I69424896,4800.0,8.476579508530941,7428000.0,1547.5,: ,Apartment,2476000.0,60.0,8000.0
4.0,11.0,0,0,13.0,0.09090909090909091,,3255.0,17.404903331911,78.350111270435,8000.0,90.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,69273430,W69273430,8500.0,9.04793908261736,27649999.999999996,3255.0,: ,Apartment,6912499.999999999,90.0,8000.0
3.0,11.0,0,0,13.0,0.09090909090909091,,2280.5,17.404903331911,78.350111270435,8000.0,90.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,69273428,Z69273428,8500.0,9.04793908261736,19350000.0,2280.5,: ,Apartment,6450000.0,90.0,8000.0
2.0,11.0,0,0,13.0,0.09090909090909091,,1377.5,17.404903331911,78.350111270435,8000.0,90.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,69273426,R69273426,8500.0,9.04793908261736,11700000.0,1377.5,: ,Apartment,5850000.0,90.0,8000.0
